temperatura,amonia,idade,peso,sexo,fotoperiodo,ruido,luz,umidade,infeccoes,animais_por_gaiola,risco,linhagem
28,26,280,198,0,10,41,181,55,1,3,3,0
37,30,432,286,1,16,61,236,44,1,1,3,0
39,21,247,275,1,10,14,242,27,0,2,3,0
28,9,191,109,1,15,57,72,48,1,4,3,0
35,22,323,445,0,10,54,271,35,1,1,3,0
32,14,374,176,0,13,36,186,76,0,5,3,0
31,20,447,172,0,11,16,219,12,1,5,3,0
35,30,531,481,1,11,15,161,27,1,5,3,0
29,13,94,215,1,12,53,230,3,1,2,3,0
22,10,124,314,1,16,15,165,78,0,1,3,0
32,13,387,359,1,13,35,241,74,1,3,3,0
32,11,71,385,1,13,39,79,56,0,1,3,0
21,11,727,124,1,10,78,188,13,1,5,3,0
35,13,423,427,0,14,14,135,67,0,4,3,0
26,22,146,164,1,16,58,169,27,0,1,3,0
30,25,31,184,1,12,18,153,35,0,1,3,0
25,30,183,125,0,13,26,180,59,0,4,3,0
33,18,536,172,1,10,51,218,68,0,2,3,0
20,13,153,136,1,15,54,122,59,0,4,3,0
27,15,534,41,1,12,37,93,57,0,2,3,0
38,10,568,484,1,13,41,167,51,0,4,3,0
34,26,52,12,0,15,48,109,93,1,3,3,0
32,29,27,59,0,15,14,280,44,0,5,3,0
38,12,63,308,1,13,17,272,53,0,5,3,0
34,20,547,438,1,12,69,154,96,0,4,3,0
34,17,65,492,1,13,32,201,2,0,1,3,0
20,13,197,255,0,13,50,221,42,1,3,3,0
40,16,160,155,1,16,10,220,96,0,2,3,0
32,20,290,235,1,16,74,151,26,1,2,3,0
40,19,457,115,0,16,71,91,76,1,5,3,0
33,27,455,499,1,13,35,241,9,1,1,3,0
29,15,113,41,1,15,46,210,86,1,5,3,0
34,12,401,478,1,13,46,190,74,0,4,3,0
24,30,347,427,0,16,38,114,74,1,4,3,0
25,25,728,463,0,15,48,281,67,0,4,3,0
28,30,564,133,0,15,18,91,2,0,1,3,0
20,25,544,169,0,15,22,104,49,1,5,3,0
38,13,184,119,0,15,59,186,89,0,5,3,0
28,29,519,160,0,11,63,108,95,0,5,3,0
31,15,191,314,0,10,62,252,1,1,4,3,0
21,19,708,69,0,10,10,290,12,0,4,3,0
34,18,678,169,0,15,43,257,42,0,2,3,0
31,28,33,496,1,14,18,95,36,1,5,3,0
31,10,405,160,0,10,66,122,13,1,5,3,0
20,15,121,122,1,11,65,83,91,1,1,3,0
35,25,274,151,1,15,74,256,10,1,2,3,0
28,26,38,492,1,10,45,156,37,0,3,3,0
33,11,321,58,1,13,51,135,43,1,5,3,0
37,28,198,92,0,15,52,98,66,1,1,3,0
32,23,411,332,0,14,32,181,48,1,3,3,0
33,12,502,50,1,12,76,217,87,1,4,3,0
26,24,613,264,1,10,21,244,3,0,2,3,0
31,26,425,437,1,11,67,108,15,1,3,3,0
39,12,596,292,1,15,77,118,21,1,1,3,0
31,14,181,268,1,14,10,258,78,0,5,3,0
20,21,478,175,1,12,39,72,99,1,4,3,0
26,21,608,76,0,16,42,132,59,1,5,3,0
39,16,555,428,1,12,78,199,68,0,5,3,0
20,22,396,68,0,12,79,96,27,1,5,3,0
38,16,419,283,0,15,39,258,59,1,1,3,0
36,24,463,54,1,12,23,63,71,1,1,3,0
27,29,150,59,1,15,14,116,0,1,3,3,0
34,25,392,487,1,15,32,169,67,1,2,3,0
37,11,58,182,1,15,61,215,42,1,4,3,0
20,25,543,438,1,15,29,283,4,0,2,3,0
38,10,155,89,0,15,62,78,31,0,2,3,0
24,9,389,481,0,10,61,101,18,0,5,3,0
26,18,189,404,1,15,37,216,1,1,4,3,0
30,13,88,149,1,15,78,80,99,1,4,3,0
25,27,162,117,1,15,35,278,17,1,5,3,0
32,16,81,364,1,13,13,209,0,1,3,3,0
20,18,435,357,1,12,21,150,50,1,2,3,0
26,11,585,144,0,15,45,295,84,1,2,3,0
24,26,395,38,1,12,54,80,70,0,2,3,0
28,21,406,380,0,13,17,71,36,0,4,3,0
22,26,69,461,0,10,60,269,30,0,3,3,0
33,9,716,350,0,16,72,104,45,0,5,3,0
36,25,53,216,1,13,74,271,34,0,4,3,0
39,23,176,329,1,12,45,195,39,0,1,3,0
31,17,521,357,1,10,63,211,28,0,4,3,0
29,24,231,120,1,12,78,104,11,1,5,3,0
26,25,640,476,0,12,23,217,24,0,5,3,0
21,30,644,232,1,12,54,185,25,0,5,3,0
24,15,586,396,0,12,38,122,36,1,3,3,0
31,22,27,322,1,16,63,199,100,1,2,3,0
40,18,184,335,1,12,22,162,87,0,1,3,0
24,15,365,168,0,12,24,132,11,1,4,3,0
26,14,618,393,1,15,53,258,24,0,1,3,0
29,20,277,131,0,13,61,89,20,1,5,3,0
27,11,256,286,0,12,32,89,97,0,1,3,0
23,14,81,271,0,15,13,167,60,0,5,3,0
30,9,217,422,1,10,73,164,81,0,3,3,0
38,16,381,367,0,13,13,280,71,1,1,3,0
40,15,130,439,1,12,20,148,78,0,2,3,0
32,22,340,279,0,16,75,94,74,0,5,3,0
26,25,522,294,1,15,67,230,81,1,2,3,0
28,19,47,277,0,16,32,67,55,1,2,3,0
39,13,606,288,1,13,61,100,1,0,5,3,0
39,28,524,151,0,12,37,114,29,0,5,3,0
21,27,216,449,1,13,62,174,56,1,5,3,0
37,14,86,274,1,10,31,63,5,1,3,3,0
40,29,308,380,0,16,36,255,5,0,1,3,0
29,28,520,96,1,11,35,210,4,1,1,3,0
36,12,85,374,0,15,34,170,45,1,1,3,0
35,29,325,429,1,12,72,271,23,0,2,3,0
22,25,345,197,1,13,63,211,100,0,3,3,0
25,15,559,98,1,11,62,125,28,1,5,3,0
33,29,525,256,1,12,51,61,58,0,4,3,0
36,29,406,500,0,15,38,180,54,0,2,3,0
26,26,657,202,0,11,43,229,2,0,5,3,0
33,23,672,62,1,13,43,135,65,1,2,3,0
23,25,666,19,1,11,26,269,84,0,3,3,0
37,24,669,157,0,14,31,188,99,1,4,3,0
40,14,559,182,0,11,27,233,55,0,5,3,0
21,15,396,288,0,13,13,222,4,0,1,3,0
22,9,615,60,0,14,78,148,46,0,4,3,0
21,16,578,274,1,13,31,197,59,0,4,3,0
39,18,71,304,0,10,32,129,62,1,4,3,0
40,25,661,175,1,12,79,271,76,0,4,3,0
31,23,608,44,1,12,24,80,71,0,5,3,0
20,20,681,499,1,13,49,168,68,0,1,3,0
22,16,449,169,1,16,18,236,39,1,4,3,0
32,29,495,343,1,16,53,210,1,1,3,3,0
27,28,41,166,0,10,46,278,59,0,4,3,0
24,18,395,476,0,10,28,199,13,0,4,3,0
27,18,55,74,0,12,39,215,38,1,4,3,0
20,30,117,270,0,16,67,78,94,1,4,3,0
40,10,616,57,1,16,45,74,41,0,1,3,0
40,18,508,140,1,15,62,86,77,0,1,3,0
34,19,719,361,1,11,38,74,29,1,3,3,0
37,24,576,381,0,12,45,75,95,0,3,3,0
24,22,206,99,0,16,32,257,17,1,5,3,0
25,28,54,85,0,11,19,138,93,0,1,3,0
40,26,464,130,0,11,66,203,64,1,4,3,0
25,19,496,142,0,14,78,68,94,0,4,3,0
33,15,591,331,1,10,21,160,89,0,4,3,0
40,25,613,390,0,11,69,74,82,0,3,3,0
25,26,603,153,0,14,29,139,94,0,5,3,0
27,12,325,365,1,16,76,194,60,0,4,3,0
20,23,544,329,1,11,49,107,17,0,4,3,0
28,24,333,380,0,12,60,296,42,1,1,3,0
26,19,679,476,1,12,42,99,46,0,4,3,0
31,14,143,309,1,11,11,256,21,1,4,3,0
35,11,718,231,1,15,32,78,94,1,4,3,0
39,19,291,216,1,13,64,255,33,1,3,3,0
31,10,272,86,1,12,51,290,97,1,5,3,0
24,27,51,388,0,12,60,289,56,1,5,3,0
22,15,653,45,0,12,33,254,29,0,4,3,0
30,24,43,228,1,13,25,180,76,0,2,3,0
27,20,489,142,0,16,76,241,9,1,4,3,0
27,19,288,351,0,14,33,275,84,0,4,3,0
23,13,532,23,1,15,43,230,13,0,5,3,0
31,9,151,11,1,12,20,278,63,1,1,3,0
22,27,607,18,1,15,49,122,26,1,3,3,0
27,28,570,420,0,15,32,264,27,1,2,3,0
40,13,352,205,1,16,57,66,87,1,5,3,0
29,26,127,13,1,11,54,251,92,1,5,3,0
40,20,214,316,0,11,31,139,54,0,5,3,0
36,22,566,172,1,11,15,289,81,0,4,3,0
32,9,518,134,1,16,16,67,71,0,1,3,0
38,29,448,498,0,13,71,203,8,0,5,3,0
33,20,202,381,1,16,18,225,36,1,5,3,0
33,28,408,144,0,14,61,78,86,0,4,3,0
34,9,87,278,1,14,44,249,27,0,5,3,0
23,28,632,348,1,16,35,165,37,1,4,3,0
40,14,559,240,1,11,40,275,91,1,2,3,0
21,29,255,446,1,13,26,294,8,0,4,3,0
33,17,55,228,1,11,76,110,50,1,4,3,0
33,13,435,343,0,12,43,126,96,1,1,3,0
23,19,105,80,0,10,39,140,34,0,5,3,0
34,20,346,487,0,12,15,154,26,0,2,3,0
37,14,416,207,0,14,32,260,82,1,1,3,0
37,22,401,236,1,11,49,227,75,1,4,3,0
28,12,82,320,0,15,26,171,78,0,5,3,0
34,17,413,15,0,15,51,153,69,1,2,3,0
39,15,154,123,0,12,25,275,56,1,3,3,0
21,10,644,68,1,14,34,116,37,1,2,3,0
31,29,147,367,1,14,75,110,58,1,2,3,0
27,16,675,293,1,10,10,250,11,1,3,3,0
39,30,159,31,1,10,13,211,90,0,4,3,0
21,21,463,132,0,13,65,198,99,1,1,3,0
30,29,185,228,0,10,36,239,88,0,4,3,0
29,30,662,143,0,15,38,161,93,0,4,3,0
38,21,163,51,1,16,25,152,92,0,2,3,0
30,24,364,455,0,14,60,279,11,1,3,3,0
37,12,455,425,1,12,34,250,14,0,3,3,0
33,30,538,203,0,15,62,157,65,1,1,3,0
26,20,629,139,0,14,57,280,69,1,1,3,0
28,21,217,127,1,14,60,65,1,1,3,3,0
35,30,634,87,1,12,52,273,29,0,3,3,0
25,20,235,98,1,10,25,68,56,1,3,3,0
39,27,289,343,1,12,31,126,20,1,3,3,0
22,21,550,271,1,14,60,233,92,0,4,3,0
40,11,451,361,0,10,79,257,34,0,3,3,0
27,21,388,133,1,14,66,61,73,0,4,3,0
20,12,455,338,1,12,74,155,100,1,5,3,0
37,12,381,463,0,11,24,266,65,1,1,3,0
24,30,152,365,1,11,55,182,93,0,1,3,0
22,28,141,399,0,11,37,101,80,0,4,3,0
24,19,244,250,0,11,14,103,77,0,1,3,0
30,12,539,425,0,15,18,166,10,0,5,3,0
22,20,353,213,1,11,43,244,7,0,5,3,0
39,29,611,221,0,13,73,95,68,1,2,3,0
33,26,361,489,0,11,45,298,18,0,2,3,0
20,20,423,446,1,13,33,82,16,1,5,3,0
24,19,553,409,0,16,31,201,95,0,1,3,0
38,23,49,398,1,12,70,97,77,0,5,3,0
24,23,669,454,0,11,53,220,47,1,4,3,0
25,27,653,425,0,15,51,164,5,1,3,3,0
22,13,707,355,1,11,27,217,75,1,3,3,0
23,24,636,284,0,10,35,224,82,0,5,3,0
23,11,579,426,0,16,18,157,45,1,4,3,0
28,24,146,472,0,15,57,150,75,1,3,3,0
31,22,638,411,1,12,51,283,98,1,4,3,0
32,11,377,192,0,15,66,281,86,1,5,3,0
33,16,509,493,1,12,29,239,62,1,5,3,0
39,30,113,452,1,14,21,123,9,1,4,3,0
37,28,68,189,1,10,16,259,81,1,4,3,0
24,9,206,366,1,11,45,206,29,0,2,3,0
26,20,199,335,0,15,68,256,58,1,3,3,0
38,22,239,404,1,15,46,185,7,0,1,3,0
29,17,76,378,1,11,71,298,46,0,1,3,0
31,28,338,304,0,11,23,253,22,1,2,3,0
25,19,595,377,0,14,33,263,29,0,4,3,0
31,17,522,207,0,16,78,90,89,1,1,3,0
30,19,226,186,1,14,39,106,96,0,1,3,0
34,16,34,27,1,12,23,235,18,1,3,3,0
24,11,588,500,1,16,52,88,16,1,4,3,0
30,14,267,324,1,10,57,61,90,0,4,3,0
36,19,372,323,1,15,26,296,2,1,4,3,0
27,14,672,262,0,15,52,280,36,0,3,3,0
33,12,519,20,1,11,40,110,38,1,4,3,0
33,22,196,493,1,10,13,297,24,1,4,3,0
24,22,195,115,1,11,31,134,0,1,4,3,0
29,25,382,48,0,14,45,172,68,0,1,3,0
28,27,679,454,1,14,23,151,24,1,5,3,0
24,30,93,114,1,13,66,221,6,0,4,3,0
37,24,160,197,0,10,20,167,86,0,1,3,0
21,18,495,176,1,12,70,168,92,0,2,3,0
33,9,576,55,1,11,17,191,41,1,1,3,0
40,11,30,292,1,13,72,268,88,1,4,3,0
28,9,427,260,1,13,19,255,85,0,3,3,0
28,16,723,37,0,10,47,210,30,0,3,3,0
20,19,175,345,0,13,30,216,89,1,2,3,0
25,21,302,495,1,14,29,104,96,0,3,3,0
30,20,300,100,1,14,12,60,99,0,4,3,0
33,29,147,242,0,11,52,281,23,1,4,3,0
38,28,353,384,1,13,33,103,17,0,5,3,0
36,20,331,166,1,13,75,87,37,1,3,3,0
20,10,95,44,0,16,41,210,45,0,5,3,0
28,9,30,347,1,12,68,280,46,1,2,3,0
32,25,155,23,1,14,72,101,69,1,1,3,0
33,30,528,150,0,13,79,139,76,1,4,3,0
37,23,96,139,1,10,34,241,100,1,5,3,0
36,28,42,305,1,13,12,185,1,0,3,3,0
33,27,182,463,0,12,53,264,33,1,2,3,0
39,16,348,350,0,10,47,237,89,0,1,3,0
26,10,326,411,1,16,38,149,93,0,2,3,0
39,14,300,365,1,12,78,103,8,1,3,3,0
34,20,370,160,1,13,20,240,82,0,2,3,0
28,9,461,402,0,14,44,111,30,0,3,3,0
29,15,648,104,0,13,42,111,10,1,2,3,0
21,28,729,65,0,10,74,160,79,0,5,3,0
28,25,138,211,1,14,24,211,75,0,2,3,0
34,15,423,328,1,10,28,130,99,1,5,3,0
20,18,379,189,1,10,61,93,90,0,2,3,0
40,24,456,309,1,12,29,247,22,0,4,3,0
34,23,524,189,0,10,54,198,23,1,4,3,0
24,22,417,245,0,14,17,76,85,0,2,3,0
38,11,401,67,1,11,14,187,50,0,3,3,0
29,30,117,70,1,10,33,214,99,1,1,3,0
22,29,683,420,1,12,76,180,34,1,4,3,0
24,23,404,329,0,11,38,167,83,1,5,3,0
27,21,501,198,1,14,39,128,32,0,3,3,0
30,13,395,284,1,10,45,264,88,0,2,3,0
36,23,227,450,1,16,48,117,68,0,4,3,0
22,9,72,223,1,11,16,152,8,1,5,3,0
39,27,486,489,0,15,61,109,7,0,5,3,0
29,21,539,370,0,10,61,128,1,0,5,3,0
38,28,256,119,0,14,14,73,5,1,3,3,0
20,21,91,110,0,14,51,142,89,1,5,3,0
26,9,270,494,0,14,58,291,24,0,1,3,0
30,14,572,39,0,11,41,78,22,1,2,3,0
20,20,715,84,1,13,75,95,83,1,5,3,0
25,24,526,163,1,13,43,257,90,0,4,3,0
27,25,470,225,1,11,47,121,12,0,4,3,0
37,22,174,128,0,13,14,181,97,0,1,3,0
33,12,309,277,0,14,62,240,18,1,1,3,0
32,9,696,310,0,16,66,271,30,0,3,3,0
26,26,640,450,1,11,72,117,63,0,2,3,0
25,16,260,308,1,10,51,227,69,0,2,3,0
37,17,248,77,0,15,76,122,15,0,1,3,0
39,19,459,145,1,15,13,255,95,1,3,3,0
20,16,29,402,1,12,66,290,72,1,4,3,0
30,20,641,470,0,11,67,286,99,0,3,3,0
39,9,227,113,1,11,38,292,63,1,4,3,0
20,14,572,329,1,16,15,199,93,0,5,3,0
25,12,368,434,0,11,27,89,13,1,2,3,0
36,28,46,279,1,12,54,164,10,0,3,3,0
34,30,294,230,1,15,68,80,24,1,2,3,0
34,14,316,183,0,16,27,263,32,1,5,3,0
27,25,458,74,0,16,37,84,99,1,2,3,0
26,30,337,53,0,11,33,145,7,0,5,3,0
29,11,112,402,0,13,14,105,83,0,5,3,0
24,28,168,66,0,13,16,209,21,1,3,3,0
31,9,647,438,1,15,10,165,1,0,1,3,0
24,12,343,244,1,16,36,248,97,0,2,3,0
22,23,611,433,0,10,59,149,44,0,5,3,0
34,12,386,374,0,16,73,80,38,0,4,3,0
23,26,528,154,0,16,56,228,25,0,5,3,0
36,27,34,405,0,16,10,73,52,0,2,3,0
36,15,268,380,1,11,50,102,90,1,5,3,0
20,24,370,161,0,13,70,258,9,0,3,3,0
37,12,251,451,1,10,58,66,94,1,3,3,0
39,14,702,385,1,11,60,217,37,1,5,3,0
37,17,117,20,0,13,47,116,55,0,3,3,0
20,14,607,20,1,15,41,105,97,1,1,3,0
29,28,40,122,1,16,80,108,68,1,2,3,0
39,27,418,375,1,15,31,296,22,1,5,3,0
34,23,633,31,0,12,71,265,41,0,5,3,0
36,17,617,176,1,12,16,221,93,0,2,3,0
33,29,263,67,0,14,48,132,7,1,3,3,0
27,23,474,121,0,12,76,122,58,1,5,3,0
33,10,568,474,1,15,63,73,3,0,5,3,0
28,10,251,406,1,13,27,97,29,1,4,3,0
20,19,512,304,1,12,76,74,78,0,2,3,0
23,14,506,276,0,16,12,275,19,0,1,3,0
35,13,608,258,1,16,19,168,100,0,5,3,0
31,22,113,48,1,10,63,91,21,1,2,3,0
40,10,167,493,1,10,57,93,99,1,1,3,0
23,15,466,279,0,13,13,74,31,1,2,3,0
32,12,99,96,0,10,24,115,52,1,4,3,0
20,20,445,466,1,10,25,97,82,0,5,3,0
32,9,353,280,0,15,69,204,7,0,1,3,0
40,14,549,194,0,13,56,192,28,0,4,3,0
31,25,239,261,1,11,61,289,58,0,4,3,0
38,20,721,39,0,10,54,119,42,1,5,3,0
31,16,441,193,0,12,35,108,90,1,3,3,0
37,14,618,353,0,14,35,130,79,0,5,3,0
21,23,170,269,0,16,59,162,46,0,4,3,0
25,19,699,416,1,14,11,130,4,0,3,3,0
20,28,557,286,1,15,30,121,74,1,2,3,0
35,23,338,58,0,14,28,152,58,0,3,3,0
33,26,553,288,0,11,32,236,34,1,3,3,0
24,22,600,241,0,11,15,205,87,0,5,3,0
27,18,373,411,0,12,14,200,34,0,2,3,0
35,11,44,414,0,11,22,74,50,1,5,3,0
36,21,359,368,1,10,35,135,67,0,2,3,0
26,19,261,235,1,15,65,242,81,0,2,3,0
40,18,457,388,1,11,39,219,22,1,4,3,0
24,26,52,443,1,11,65,127,77,1,4,3,0
40,16,468,73,1,14,69,204,7,1,4,3,0
34,12,550,136,0,16,26,204,12,0,3,3,0
39,24,222,46,1,12,76,178,39,0,1,3,0
20,10,537,262,0,10,79,137,73,1,1,3,0
21,15,397,407,1,10,47,103,51,0,4,3,0
26,13,511,460,0,10,27,266,69,0,3,3,0
33,13,270,478,0,15,23,266,74,1,4,3,0
33,28,221,110,0,10,35,250,95,0,3,3,0
23,24,462,44,0,16,28,238,84,0,1,3,0
20,23,626,282,0,10,29,233,18,0,5,3,0
31,23,461,500,0,12,35,78,42,0,4,3,0
32,19,597,467,0,16,35,232,15,1,1,3,0
25,22,730,11,0,16,19,273,67,1,3,3,0
39,20,434,198,1,12,38,252,95,0,2,3,0
39,22,576,256,0,15,39,116,70,1,2,3,0
20,15,480,488,1,12,61,113,43,1,3,3,0
22,26,471,162,1,16,62,247,93,1,4,3,0
30,21,723,416,0,11,44,173,40,1,3,3,0
20,29,673,254,1,10,43,99,56,0,5,3,0
37,19,624,327,1,11,37,167,19,0,3,3,0
33,22,715,446,0,14,31,274,38,0,3,3,0
36,30,309,354,0,11,69,139,73,0,4,3,0
28,15,106,169,0,14,28,171,74,1,3,3,0
22,26,185,41,1,13,59,209,97,1,5,3,0
38,11,194,265,1,16,44,64,88,0,4,3,0
22,25,109,121,1,15,23,192,19,1,5,3,0
32,17,273,140,0,12,47,298,27,0,1,3,0
28,17,295,204,1,16,32,256,2,0,5,3,0
39,11,525,295,1,15,11,258,78,1,1,3,0
27,11,534,51,1,15,38,82,4,0,5,3,0
33,27,422,296,0,14,12,148,19,1,3,3,0
32,14,29,375,1,13,25,288,54,1,1,3,0
29,17,78,401,0,10,66,75,93,0,5,3,0
37,17,472,230,0,14,56,286,58,0,1,3,0
37,29,265,110,0,12,38,162,5,0,5,3,0
22,21,468,234,0,10,22,196,92,0,4,3,0
29,13,324,460,1,13,70,243,17,1,4,3,0
34,24,702,42,0,15,38,251,85,1,2,3,0
32,11,223,234,0,12,68,262,56,0,4,3,0
34,29,331,484,0,10,40,80,51,0,3,3,0
34,24,126,263,0,16,69,266,17,1,4,3,0
25,19,678,303,0,14,73,230,54,0,2,3,0
35,18,622,179,0,12,45,146,46,0,3,3,0
37,10,520,435,1,14,71,273,83,1,2,3,0
24,24,328,361,1,11,27,158,95,0,4,3,0
26,13,529,393,1,11,42,143,95,1,5,3,0
23,26,632,292,1,15,71,86,40,1,3,3,0
32,19,256,390,1,16,68,184,17,0,3,3,0
34,23,559,304,0,15,41,116,49,1,1,3,0
31,12,327,61,0,14,26,141,6,1,1,3,0
20,30,513,375,0,10,18,245,95,1,1,3,0
40,22,129,489,0,12,67,174,5,1,4,3,0
32,20,105,384,0,14,24,275,12,0,4,3,0
31,12,124,252,1,15,79,284,92,0,4,3,0
36,28,319,201,1,14,72,276,99,0,3,3,0
32,10,198,78,0,16,29,77,81,1,5,3,0
38,11,683,340,0,16,76,132,53,1,1,3,0
38,16,560,92,1,14,12,291,57,1,2,3,0
28,9,225,151,1,16,28,280,40,1,1,3,0
20,17,517,45,1,12,33,252,27,0,3,3,0
35,18,717,324,0,12,43,185,45,1,4,3,0
21,19,402,86,1,16,77,287,56,1,4,3,0
37,26,433,456,0,14,22,61,61,0,4,3,0
20,29,314,190,0,10,45,200,26,1,1,3,0
33,28,573,449,0,10,55,184,5,1,5,3,0
23,20,171,188,0,13,80,275,1,1,2,3,0
39,14,310,236,1,14,73,89,87,1,5,3,0
32,18,593,413,1,10,67,67,6,1,1,3,0
26,18,330,397,1,11,76,202,22,0,4,3,0
25,22,53,292,1,12,66,128,8,1,1,3,0
33,22,35,386,1,10,44,62,98,1,1,3,0
36,20,560,200,0,10,56,106,97,1,2,3,0
21,27,568,105,0,13,74,139,32,0,3,3,0
23,20,337,337,0,13,31,161,23,0,1,3,0
24,16,388,304,1,11,65,244,11,0,4,3,0
29,25,689,254,0,12,68,63,90,1,4,3,0
25,22,566,353,1,11,17,246,93,0,5,3,0
25,26,487,78,0,15,36,194,38,1,5,3,0
29,16,629,241,1,16,17,164,54,0,1,3,0
40,27,421,429,1,12,43,73,5,1,4,3,0
26,29,244,402,1,16,51,120,44,0,4,3,0
26,26,575,363,1,15,33,113,71,1,5,3,0
27,14,635,110,1,12,57,176,54,0,3,3,0
40,16,584,425,0,12,23,102,75,0,2,3,0
21,13,215,151,1,15,32,181,41,1,5,3,0
28,22,579,315,1,11,24,200,83,1,1,3,0
38,23,68,150,0,15,38,196,98,0,1,3,0
36,27,186,294,1,13,16,105,34,0,1,3,0
20,10,322,364,1,12,55,212,36,0,5,3,0
32,17,721,105,0,16,49,122,95,0,1,3,0
40,19,511,164,0,13,73,125,67,0,1,3,0
34,24,271,222,0,12,16,100,39,0,4,3,0
29,9,336,385,0,12,52,292,21,0,5,3,0
34,24,55,63,0,16,70,212,71,0,4,3,0
30,12,577,16,1,14,64,129,78,1,1,3,0
28,23,319,175,1,10,40,234,27,1,3,3,0
32,18,385,294,0,13,61,235,47,1,5,3,0
27,16,178,402,0,15,46,200,23,1,2,3,0
31,20,426,185,1,12,50,83,67,0,4,3,0
37,22,133,388,1,13,10,139,89,0,2,3,0
39,20,275,141,1,11,36,80,45,0,5,3,0
20,12,170,455,1,16,68,271,49,1,2,3,0
34,27,645,12,1,15,61,100,60,0,4,3,0
20,27,412,334,1,16,71,199,36,0,2,3,0
35,14,601,273,0,15,40,256,44,0,5,3,0
33,16,682,411,1,10,70,110,78,0,1,3,0
31,19,565,380,1,15,30,293,44,1,1,3,0
24,9,621,372,0,13,23,165,55,1,1,3,0
27,12,345,299,0,11,45,181,77,0,2,3,0
30,22,547,421,1,10,20,121,27,1,3,3,0
25,22,728,196,1,11,21,118,43,1,3,3,0
21,17,677,345,0,15,43,64,84,1,5,3,0
37,22,610,59,0,14,65,190,66,1,2,3,0
32,24,714,256,1,14,39,266,99,1,4,3,0
33,19,670,348,1,10,59,105,45,1,5,3,0
37,19,447,81,1,10,18,100,19,1,5,3,0
20,18,418,357,0,15,70,178,53,0,2,3,0
28,26,225,151,1,10,32,196,2,0,4,3,0
38,20,336,21,1,12,58,226,86,1,5,3,0
22,10,170,401,0,12,29,171,21,0,2,3,0
38,25,114,409,0,11,38,167,92,1,4,3,0
28,20,152,406,0,12,12,237,36,0,4,3,0
29,27,591,312,0,14,74,193,71,0,2,3,0
39,21,163,186,0,13,21,267,86,0,2,3,0
31,30,360,249,0,12,72,220,39,0,4,3,0
36,30,647,55,1,11,41,223,69,1,4,3,0
30,13,237,267,1,10,48,294,72,0,4,3,0
34,21,654,216,0,13,13,157,0,0,2,3,0
33,14,98,167,1,11,68,227,11,1,4,3,0
21,21,396,331,1,10,59,120,7,0,3,3,0
25,10,43,391,0,10,30,222,12,0,3,3,0
27,26,442,229,1,15,32,125,39,0,4,3,0
23,17,342,125,1,12,61,280,95,1,1,3,0
37,18,697,408,0,10,76,81,61,0,1,3,0
25,10,590,219,0,16,55,94,34,1,5,3,0
27,24,577,271,0,12,15,213,55,1,2,3,0
20,16,39,48,0,16,60,198,57,1,2,3,0
32,14,196,422,0,10,45,285,50,1,2,3,0
29,13,369,270,1,10,27,170,18,0,2,3,0
33,16,241,43,0,12,65,166,11,0,1,3,0
22,28,186,329,0,16,12,240,68,0,2,3,0
30,15,136,291,1,12,47,92,95,0,4,3,0
21,27,212,159,1,12,10,105,24,1,1,3,0
29,28,42,465,1,12,26,200,61,1,2,3,0
22,22,527,467,1,10,53,108,8,1,2,3,0
