temperatura;amonia;idade;peso;sexo;fotoperiodo;ruido;luz;umidade;infeccoes;animais_por_gaiola;risco
26;14;669;184;1;10;77;249;44;1;3;5
20;23;245;219;0;10;30;160;82;1;5;6
22;23;543;304;0;16;51;282;67;1;3;6
37;30;686;129;1;15;43;267;84;1;5;5
29;29;665;394;0;14;59;158;41;1;2;5
31;21;533;233;1;15;65;60;71;1;3;4
31;9;286;94;0;12;63;68;58;1;5;5
31;16;38;455;0;16;72;296;97;0;3;5
30;19;63;137;1;12;45;261;57;1;3;5
33;30;377;355;1;11;67;268;54;0;3;6
23;27;298;500;1;13;46;227;19;1;5;5
35;16;650;427;0;12;56;136;70;1;3;4
35;26;404;57;0;13;33;95;4;1;2;5
24;25;107;438;1;11;57;196;93;1;2;5
24;30;501;185;1;10;44;87;18;1;5;5
25;29;116;447;1;16;33;60;18;0;2;5
38;21;112;319;0;11;67;194;100;1;2;6
27;21;330;229;0;10;46;297;63;1;4;5
37;15;170;124;0;16;52;290;39;0;3;6
26;23;102;342;1;13;51;279;31;0;1;5
20;30;452;106;1;13;70;229;60;0;4;5
34;13;53;87;0;12;76;135;74;1;4;5
28;12;681;334;0;10;40;281;83;1;4;5
38;28;725;66;1;13;22;77;93;0;4;6
40;20;343;291;1;13;47;234;49;0;1;5
34;11;227;42;1;16;45;241;38;1;4;5
25;9;460;462;0;14;64;224;60;1;5;4
35;14;109;257;1;15;56;197;47;0;2;6
22;23;195;118;0;13;43;237;54;0;2;5
21;26;608;264;1;14;67;186;21;0;2;5
31;18;275;350;1;14;37;101;10;1;1;5
29;11;245;365;0;10;74;96;48;1;1;6
36;21;387;105;0;11;71;202;51;0;4;6
22;29;478;394;1;10;18;264;73;0;2;6
39;23;674;428;1;14;74;225;46;0;4;6
25;22;479;265;1;14;80;115;86;1;5;5
27;19;455;85;0;11;68;160;93;0;4;5
28;9;477;362;0;11;42;205;90;0;4;5
40;11;568;98;0;14;29;142;5;1;3;5
35;29;240;44;0;13;14;218;28;0;3;5
32;17;269;441;0;15;15;134;36;1;2;6
36;16;365;135;1;13;17;148;83;1;2;5
39;9;338;176;1;11;35;238;93;1;4;5
37;28;299;227;0;13;36;122;94;1;4;5
20;22;686;486;0;11;39;297;16;1;2;5
23;18;164;456;0;12;62;89;83;0;1;6
37;13;484;218;0;14;58;67;71;0;5;5
31;25;420;62;0;11;38;182;31;0;5;6
37;25;643;471;0;11;76;111;44;1;3;6
32;26;251;309;0;15;69;120;32;0;1;6
39;13;392;273;1;10;21;249;75;1;3;6
27;20;721;128;1;12;10;250;89;0;2;6
22;22;491;168;1;13;65;89;98;1;4;5
27;10;503;182;0;10;24;80;48;1;3;6
36;26;94;145;0;12;39;201;57;1;4;5
31;20;498;143;0;10;51;286;79;1;3;5
20;25;177;376;1;10;43;173;23;0;2;5
21;27;620;102;1;13;60;68;62;1;5;5
39;9;690;203;0;12;77;186;98;0;4;5
36;27;716;489;1;10;43;209;97;0;2;5
25;17;364;391;0;11;27;126;11;0;5;7
26;26;488;65;1;12;24;247;77;0;3;5
32;14;203;435;1;16;70;202;16;0;3;5
32;20;273;200;1;10;19;61;55;1;2;5
21;22;587;157;0;13;70;255;15;1;4;5
22;21;696;446;1;12;56;81;35;0;4;6
33;26;298;328;1;10;75;95;30;1;1;6
27;23;376;488;1;16;77;296;18;1;2;5
31;17;149;16;1;12;52;124;82;1;1;5
30;12;60;178;1;10;73;114;65;1;1;5
22;10;675;110;1;14;47;206;48;1;1;5
33;17;539;494;1;10;69;163;92;1;3;5
39;15;259;221;1;10;54;177;85;1;4;5
37;21;81;440;0;12;50;60;49;0;4;5
24;15;236;11;1;15;38;158;75;0;5;6
25;29;532;442;1;10;35;184;0;1;4;5
32;20;355;82;1;16;40;272;14;0;4;6
37;12;496;372;1;11;17;124;19;0;5;5
36;24;286;294;0;12;52;104;95;0;2;5
31;23;391;462;0;15;70;101;29;0;1;5
30;10;501;41;1;11;69;144;29;0;4;6
38;14;602;282;0;15;63;183;38;1;5;6
38;30;349;257;1;13;16;119;59;0;1;6
22;15;78;283;1;14;14;102;76;0;3;4
24;10;364;239;1;10;50;134;54;0;4;5
35;22;561;113;0;16;45;260;82;0;1;5
30;14;326;309;1;15;54;148;24;1;2;5
34;29;593;183;0;16;12;254;82;1;2;5
23;23;404;376;1;16;56;268;6;0;4;5
38;22;370;286;1;12;20;209;22;1;3;5
39;15;306;183;0;12;43;264;46;0;1;5
34;21;578;349;1;16;59;270;85;1;4;6
21;9;331;262;1;12;53;167;19;0;3;5
38;27;289;218;0;13;54;158;94;1;1;4
35;18;481;101;1;16;72;173;15;1;4;6
39;19;642;296;1;15;66;257;63;0;1;5
38;17;302;396;1;15;51;160;96;1;4;5
33;23;730;84;0;16;55;299;99;1;4;5
28;12;715;490;1;12;76;190;0;0;5;5
38;12;154;159;1;13;76;238;47;0;4;4
25;18;680;442;1;11;34;261;10;0;3;6
39;19;387;404;1;12;18;287;18;1;1;5
39;23;682;290;1;16;17;279;96;1;4;4
40;13;692;290;1;14;15;111;91;0;4;6
34;25;510;234;1;12;14;81;11;1;2;6
32;9;624;395;0;11;13;106;24;1;5;6
37;14;356;129;0;11;40;273;50;1;5;5
28;16;359;413;0;12;37;274;83;0;1;5
24;28;227;483;0;11;46;200;80;1;5;5
26;28;64;348;1;15;45;288;99;1;3;6
24;29;397;210;1;14;55;292;10;0;4;5
36;16;228;17;1;11;47;216;69;0;4;5
33;22;90;81;1;12;67;117;75;1;3;5
25;25;412;317;0;12;16;202;90;0;2;5
25;28;90;323;0;16;59;171;67;1;1;5
36;27;232;285;1;15;74;275;66;1;5;5
23;13;325;292;0;14;19;205;35;0;5;6
20;14;541;185;0;11;64;88;20;0;1;5
32;17;71;441;1;16;22;232;51;0;2;5
31;14;248;72;1;13;37;191;68;0;1;5
39;27;619;444;1;11;76;179;44;1;3;5
32;29;63;445;1;10;57;186;59;0;4;5
39;27;560;174;0;13;53;298;74;0;5;5
38;9;245;392;1;12;57;239;70;0;3;6
23;30;199;488;0;13;17;116;29;1;1;5
21;13;648;263;0;11;44;180;95;1;1;5
32;14;165;421;1;13;32;285;60;1;2;5
30;28;471;290;0;14;28;189;33;1;1;5
34;29;728;33;0;11;59;156;32;0;2;5
40;9;188;356;1;11;80;152;64;0;3;6
37;21;485;379;1;16;21;298;98;1;1;7
34;29;675;227;1;16;80;195;2;1;1;4
20;24;135;120;0;10;71;154;8;1;2;7
32;11;462;34;0;14;77;209;26;0;1;5
40;22;523;348;1;15;50;186;56;1;1;5
34;28;431;469;1;15;24;130;6;0;1;5
30;28;410;497;1;16;32;93;47;0;4;6
28;28;181;112;1;12;20;292;64;1;2;7
34;28;59;27;0;12;23;265;81;1;2;7
25;12;300;342;1;11;47;249;1;0;2;5
30;18;590;73;0;13;14;119;54;1;1;5
26;18;151;312;1;12;78;163;34;0;1;7
20;27;687;117;0;11;75;250;37;0;1;6
26;25;278;335;0;11;19;254;47;0;2;6
21;14;383;449;0;13;24;89;77;1;2;6
21;9;297;442;1;10;58;255;12;0;1;5
37;30;430;225;0;12;10;264;48;0;5;6
32;18;544;399;0;15;73;166;53;0;4;5
20;28;650;377;1;10;40;249;18;0;4;5
24;13;274;300;0;15;16;214;22;0;2;5
20;20;584;25;0;10;73;162;54;1;3;5
27;21;649;103;0;15;27;93;71;1;5;5
30;24;290;103;0;10;20;174;46;1;4;6
20;27;263;221;1;14;80;216;86;0;1;5
30;26;308;430;0;11;72;136;93;1;1;5
23;15;419;282;1;12;40;182;71;1;5;6
34;18;669;376;0;11;72;208;58;1;3;4
35;25;369;399;1;12;21;118;3;1;2;6
37;23;517;130;0;14;15;179;13;0;4;6
27;15;73;253;1;16;36;238;59;0;4;5
20;18;211;184;1;13;66;278;60;1;2;6
29;21;592;198;1;13;58;75;55;1;4;5
30;16;661;105;0;15;39;88;63;1;4;7
28;28;395;132;0;10;44;205;60;0;2;6
40;9;238;256;0;13;56;238;68;1;3;6
31;25;281;28;0;14;50;258;13;1;1;5
36;21;549;329;0;13;78;143;34;1;4;6
40;23;720;80;0;15;40;168;4;0;4;6
39;10;462;50;1;16;36;229;10;1;3;6
20;30;535;222;0;14;67;154;55;1;5;6
26;19;601;393;0;13;13;162;90;1;4;6
23;10;377;255;1;16;25;242;36;0;3;6
39;17;85;161;1;16;15;273;10;0;2;5
37;23;427;103;1;13;32;194;66;0;3;6
28;20;300;75;0;14;47;282;34;1;2;6
25;17;145;327;1;15;10;127;75;1;3;7
35;16;688;190;1;16;35;174;45;0;1;7
27;24;281;214;1;14;78;101;42;0;2;6
24;14;281;463;0;11;73;275;23;0;4;5
35;23;592;19;0;13;47;88;20;0;5;5
22;21;728;453;1;12;43;201;40;1;4;6
30;28;131;451;0;12;13;104;77;1;4;6
24;15;166;58;0;15;10;220;97;0;3;6
33;11;654;51;1;15;65;167;47;1;2;6
31;9;230;422;0;13;43;92;13;0;3;5
30;18;246;173;1;16;58;74;95;1;5;5
40;11;339;161;1;14;80;63;30;1;5;6
35;13;136;190;1;14;55;65;62;1;4;5
27;27;595;259;1;10;48;286;97;0;1;5
29;21;400;251;0;12;34;275;31;1;1;5
20;20;448;332;0;16;53;263;50;0;5;5
37;16;410;402;0;16;13;286;71;0;4;7
40;20;30;91;0;13;37;264;98;0;1;5
25;30;506;271;1;11;79;108;64;0;4;4
25;27;429;446;0;16;18;202;11;1;4;5
34;28;534;467;0;12;35;67;100;0;3;5
36;27;331;264;0;15;44;172;19;0;2;5
21;27;690;199;0;13;11;147;71;1;4;7
38;24;325;120;0;15;43;136;11;1;4;4
30;9;132;368;1;13;45;166;85;0;2;8
29;14;422;258;1;13;49;169;50;0;5;6
36;25;317;146;1;12;45;76;28;0;3;6
40;19;538;317;0;14;48;103;12;0;5;6
33;28;469;16;0;13;20;214;67;1;2;6
24;29;654;133;1;14;38;277;94;0;1;5
28;27;218;128;1;11;12;286;95;1;1;5
39;19;85;233;1;11;54;60;60;0;4;5
22;25;376;66;1;14;28;79;77;1;1;6
33;18;157;469;1;11;39;162;96;1;3;6
32;24;513;274;1;13;53;129;64;1;5;6
40;11;469;406;0;11;70;218;76;1;2;8
21;13;278;36;0;14;41;127;31;0;1;7
27;10;42;89;0;10;40;157;6;1;3;6
22;21;658;56;0;11;23;219;37;0;4;7
32;16;667;109;0;12;12;84;67;1;5;5
25;25;567;413;0;15;32;294;96;0;1;7
26;14;159;161;1;15;67;255;83;1;1;5
35;25;144;275;1;15;32;144;91;0;3;5
21;15;641;344;0;12;14;95;7;1;2;6
28;17;572;267;1;14;21;70;12;1;4;6
21;11;597;308;0;11;55;86;61;0;4;7
35;22;323;46;1;11;15;216;50;1;2;5
40;23;689;482;1;15;52;216;67;1;3;7
26;28;130;423;1;12;55;69;72;1;2;5
28;24;74;31;0;15;10;108;95;1;1;6
22;13;291;257;0;14;39;237;50;1;2;6
33;10;609;78;0;11;11;68;14;1;2;6
21;12;64;71;0;14;34;104;71;0;5;5
25;16;676;126;0;13;49;132;55;1;2;5
31;27;436;92;0;15;50;258;67;1;5;5
36;18;266;284;0;12;39;216;94;0;4;5
37;19;405;162;0;15;68;240;52;0;5;5
34;14;595;443;1;15;73;252;78;0;1;6
34;15;467;169;1;12;55;75;20;0;3;6
37;27;394;321;0;11;60;68;92;1;5;5
39;27;336;66;0;11;63;232;47;0;2;5
34;15;409;420;1;10;40;196;23;1;3;5
27;23;423;151;1;12;39;200;66;0;1;6
22;15;669;348;1;13;77;219;51;1;5;5
33;29;689;391;1;15;53;140;50;1;3;6
33;16;538;43;1;13;37;252;8;1;2;6
24;16;23;119;1;14;55;103;36;1;3;6
28;25;393;175;0;15;46;186;95;0;5;6
25;22;488;110;0;16;34;294;1;1;5;6
21;19;101;194;0;14;33;165;1;1;1;6
32;9;36;316;1;11;17;78;8;0;4;5
28;17;352;415;1;15;77;284;4;0;1;5
30;15;551;57;1;14;41;278;60;0;4;6
40;18;573;177;1;11;39;242;23;1;4;5
20;20;294;66;0;13;55;176;77;0;2;6
40;21;247;431;0;14;70;250;25;0;1;7
20;23;45;408;0;13;37;115;35;1;4;6
30;24;667;125;1;16;26;230;91;0;5;7
33;22;70;418;1;14;38;250;28;1;5;5
36;10;642;205;0;11;48;287;25;1;2;5
26;12;373;200;0;13;54;222;59;0;3;6
31;25;615;284;1;15;58;256;43;0;3;6
33;24;214;63;0;15;19;86;63;1;3;6
22;25;236;151;0;16;78;125;93;0;2;7
22;14;27;381;0;11;44;296;45;0;2;5
24;15;435;471;1;11;50;242;48;0;3;6
34;15;346;12;0;11;25;238;17;0;3;5
39;25;37;69;1;11;52;93;75;1;1;6
34;26;672;490;1;12;14;174;26;1;1;6
40;15;281;256;1;13;61;176;48;0;2;6
32;28;421;141;0;10;23;286;29;0;1;5
24;30;160;40;0;12;80;277;3;0;3;7
35;20;155;283;1;11;36;116;43;0;5;7
20;9;306;195;1;11;40;146;65;0;2;6
40;11;488;314;0;15;67;125;10;1;5;5
20;9;704;50;1;11;60;221;42;0;2;6
33;26;451;299;0;11;65;103;54;1;2;7
22;18;377;122;0;11;56;150;66;1;3;6
28;19;29;147;1;16;18;78;53;1;3;6
21;26;305;69;0;10;74;289;70;0;4;6
34;19;500;291;0;12;36;268;38;1;2;6
20;14;221;451;1;15;57;157;75;1;2;6
27;28;105;117;0;12;25;260;40;0;5;5
32;20;202;48;1;14;41;235;35;0;3;7
37;28;234;399;1;12;29;107;89;1;2;6
40;15;442;498;1;16;77;110;84;1;1;6
31;30;552;383;0;16;34;248;34;1;3;6
35;29;721;147;1;16;78;288;43;1;1;6
24;20;409;291;1;16;77;132;6;1;5;6
30;11;459;370;1;13;65;215;8;0;5;5
34;26;490;113;1;12;11;84;68;1;3;5
40;23;220;411;0;11;50;112;59;0;1;6
32;29;361;116;0;14;36;98;99;1;2;6
40;20;633;408;0;14;49;223;56;1;1;5
31;25;288;447;1;10;75;227;41;0;5;7
32;22;590;153;1;12;32;150;27;1;1;7
38;9;61;185;0;12;28;217;2;1;3;6
40;11;196;484;0;10;28;148;68;1;2;5
35;14;565;364;1;11;47;98;8;0;3;6
22;28;681;26;1;13;23;87;70;1;3;5
29;10;373;207;0;15;39;152;38;0;4;5
21;25;97;176;0;15;66;267;2;0;2;7
39;9;81;142;1;13;23;212;28;1;4;6
24;15;261;15;1;13;72;201;67;0;5;7
27;26;543;487;1;10;36;214;39;1;3;5
40;29;586;437;0;15;75;263;2;0;1;5
25;25;607;450;0;13;79;127;97;0;2;7
26;21;609;74;1;13;50;186;8;0;4;5
29;10;162;145;1;10;59;252;58;1;5;6
22;14;314;71;0;14;24;252;7;0;4;6
35;10;211;244;0;15;62;290;21;0;2;5
29;30;47;177;1;14;21;213;13;0;5;6
25;13;89;132;0;12;22;296;14;0;5;7
21;12;548;332;1;15;63;115;71;0;2;6
24;17;255;98;1;11;36;86;77;1;3;7
25;15;332;483;1;16;52;208;33;1;3;6
26;25;468;439;1;10;28;89;45;0;1;6
27;24;435;310;0;11;59;121;71;1;5;6
32;27;107;153;0;11;37;191;11;0;3;6
38;23;513;481;0;14;69;109;57;0;3;6
23;22;251;92;1;16;27;94;7;0;4;6
24;14;415;22;0;13;57;267;27;0;3;5
30;17;330;310;0;13;60;281;85;1;4;6
22;23;365;139;0;10;34;297;82;0;4;6
32;9;99;135;1;15;77;86;17;1;3;6
25;21;603;476;1;16;65;295;83;1;1;6
29;14;295;28;1;16;54;167;43;0;5;7
32;24;697;451;1;10;12;88;94;0;5;8
34;30;566;499;1;16;58;102;64;0;1;6
28;11;456;242;0;14;40;133;92;0;1;5
22;26;96;453;1;10;46;287;89;1;2;5
39;15;570;484;0;16;64;284;100;0;1;5
28;10;636;284;1;14;55;60;98;0;2;7
26;10;75;192;0;11;41;124;87;0;2;5
29;26;703;283;0;12;29;161;74;0;5;6
29;30;107;253;1;12;21;150;11;0;4;6
33;11;386;458;1;10;27;204;2;0;1;5
23;28;632;199;1;11;59;61;58;1;1;5
26;23;652;229;0;11;80;268;79;1;2;6
39;17;243;358;0;14;59;94;44;0;4;6
22;11;626;378;0;14;17;112;100;0;4;6
26;11;102;93;0;10;53;286;69;1;2;5
24;14;542;20;1;12;70;169;71;0;4;6
31;25;700;127;0;12;31;74;58;0;2;6
28;28;235;469;0;12;58;147;55;0;2;7
40;25;207;338;0;12;48;259;86;1;2;6
23;17;70;448;1;11;56;253;89;1;1;4
36;13;514;159;0;15;10;289;10;1;4;6
24;26;636;130;0;12;79;261;50;0;2;5
32;22;438;231;0;10;16;229;95;1;5;5
31;30;650;200;1;10;47;234;30;1;4;7
35;22;557;497;1;13;19;179;30;0;2;5
29;27;87;215;1;15;63;164;90;0;2;5
23;21;184;107;0;13;11;112;58;0;5;6
22;25;444;313;0;10;28;152;38;0;5;5
20;9;129;46;1;14;47;300;33;0;2;6
20;22;622;444;0;15;78;173;15;0;3;5
38;11;130;80;0;14;80;147;67;0;5;7
29;26;415;239;0;14;69;194;17;1;5;7
21;29;481;369;1;11;68;268;17;1;2;5
40;17;352;458;0;10;47;75;67;0;2;7
37;27;453;412;0;12;61;121;91;0;4;5
21;15;473;227;0;10;67;238;12;0;1;7
30;29;458;413;1;12;70;106;67;1;4;6
34;25;347;198;0;15;63;63;45;0;1;6
33;19;481;239;0;10;14;210;16;0;1;5
23;28;589;170;1;16;77;102;41;0;5;6
23;25;149;452;1;15;11;283;80;0;5;7
33;19;227;365;1;13;80;147;10;0;2;5
37;29;549;387;0;12;68;68;31;0;3;6
36;13;542;323;0;13;46;126;63;0;4;5
27;11;39;407;1;14;59;150;44;0;4;6
39;20;156;333;1;13;41;85;33;0;4;5
31;18;628;25;0;13;58;288;92;0;2;6
26;30;686;291;1;15;32;123;82;1;4;6
33;18;490;203;1;12;53;182;64;1;1;6
28;20;578;46;1;15;21;270;41;1;4;5
29;23;639;324;1;12;23;191;80;0;1;8
38;21;569;36;1;13;46;221;70;1;4;6
21;9;494;248;0;14;34;135;22;0;3;7
35;14;719;271;1;15;26;198;41;0;2;7
29;19;437;418;1;11;43;129;1;0;2;7
21;27;130;460;0;15;31;274;95;0;4;6
28;18;659;493;0;12;38;190;43;1;2;5
29;20;582;439;1;14;42;272;31;1;1;5
32;30;515;498;1;11;77;164;21;0;4;6
28;30;339;211;1;10;10;179;77;0;4;6
22;24;402;411;0;11;46;104;7;1;3;6
28;29;318;151;1;14;21;113;41;0;2;6
23;21;90;293;1;16;20;99;80;0;2;6
29;18;169;473;1;10;43;175;3;1;3;7
35;11;255;49;0;14;43;186;43;1;3;5
23;28;195;264;1;12;59;137;49;0;3;8
29;28;412;196;0;10;58;75;64;0;4;5
29;25;581;373;0;15;55;133;28;1;2;5
33;19;499;138;0;16;17;211;32;1;1;7
34;9;231;266;0;10;53;212;15;1;4;3
28;14;217;481;1;15;27;222;81;1;4;6
37;27;211;189;0;12;26;281;79;0;1;5
39;12;378;29;1;14;72;281;48;1;5;5
38;26;438;290;0;13;11;142;43;1;4;5
35;19;356;429;1;12;74;61;46;1;4;6
39;20;334;22;1;11;13;148;53;0;2;5
35;20;568;473;1;16;48;251;56;1;2;6
34;13;239;236;0;13;41;286;54;0;3;6
32;21;522;92;1;14;79;100;89;0;3;6
40;22;23;61;1;13;62;206;99;0;1;5
25;12;273;210;0;16;52;251;31;0;4;5
22;19;271;323;1;16;39;175;49;1;3;6
26;21;180;164;0;16;66;212;13;1;4;6
31;20;443;355;0;10;33;88;55;1;4;5
31;20;27;89;0;10;33;159;69;1;1;6
26;11;38;313;0;13;23;196;100;0;4;5
30;15;320;324;0;16;15;179;49;0;4;5
30;24;556;369;0;11;29;247;90;0;3;6
27;9;31;235;0;10;17;255;18;1;2;5
34;28;631;59;0;10;54;126;55;0;4;6
33;14;65;400;0;10;33;133;47;0;4;5
37;20;283;473;1;13;36;88;42;1;4;8
23;10;594;25;0;12;20;103;27;1;1;5
39;9;655;450;1;15;13;168;73;0;4;5
34;16;643;170;1;13;19;174;76;1;3;6
33;16;683;44;0;15;60;257;24;0;5;5
33;11;28;490;0;13;69;279;11;0;4;5
33;16;395;476;0;10;54;150;17;0;1;6
20;30;610;12;1;14;62;284;80;1;2;7
31;24;418;425;1;12;33;297;7;1;2;6
39;20;488;287;1;16;16;192;97;1;3;6
22;9;33;343;0;15;49;236;96;0;5;7
27;12;704;172;1;15;27;70;5;1;4;7
36;25;312;298;1;14;34;96;65;0;3;6
31;28;402;391;0;11;48;274;56;0;4;6
20;10;134;133;1;16;20;87;66;1;3;8
25;28;693;128;0;13;14;285;6;1;4;6
24;9;634;156;1;15;53;217;71;1;5;5
22;20;500;199;0;12;20;184;18;0;3;8
35;30;273;438;1;15;14;134;100;1;4;6
26;9;334;171;0;10;60;232;29;1;2;6
24;30;103;130;1;10;70;113;5;0;5;7
20;19;289;339;1;13;80;241;99;1;4;7
39;21;180;291;0;10;10;267;66;0;5;7
40;14;219;150;1;15;73;188;34;1;1;7
20;11;259;136;1;12;57;166;85;1;5;7
40;21;30;265;0;15;44;266;89;0;2;7
28;14;672;307;0;15;25;254;63;1;1;6
36;22;598;230;0;10;59;282;53;1;3;6
24;19;178;269;1;10;35;93;61;1;5;7
33;28;136;101;0;16;44;286;32;0;2;5
26;23;618;457;1;10;37;201;33;1;3;6
21;9;524;67;0;10;76;156;58;1;5;6
25;29;469;281;0;16;60;181;75;0;1;7
36;15;393;411;0;14;29;158;22;0;5;7
20;29;367;391;0;13;79;129;41;0;4;5
29;18;300;322;1;13;44;63;30;1;1;6
31;16;218;416;0;13;70;82;5;1;2;3
38;23;544;450;0;15;39;219;26;1;3;6
24;10;700;161;0;12;54;266;83;1;5;5
40;30;495;217;0;13;65;113;76;1;2;6
35;27;545;138;1;14;11;124;9;1;1;5
30;16;729;407;0;14;76;140;66;1;5;5
23;12;308;270;1;11;29;103;49;0;4;5
37;22;201;173;1;10;35;136;20;1;1;5
29;29;41;447;1;14;24;161;37;0;3;5
36;16;705;372;1;10;32;294;78;0;2;5
23;24;521;208;0;16;19;167;56;0;3;6
29;21;181;212;0;10;60;280;96;1;3;6
35;29;67;315;1;10;19;291;4;0;4;5
38;24;729;466;1;15;57;229;81;0;2;6
22;9;62;408;0;10;62;136;50;0;5;5
30;29;291;122;1;16;70;288;50;0;1;5
21;21;694;368;1;13;40;263;79;1;5;6
21;13;50;142;1;15;24;274;14;0;2;6
38;23;720;214;1;10;29;68;67;0;5;6
23;22;167;328;1;10;14;219;91;0;3;5
29;9;698;74;0;11;24;258;97;0;2;6
33;11;187;281;0;15;61;65;71;0;5;7
21;13;486;183;0;11;69;260;10;1;5;5
33;9;132;484;0;16;55;300;20;1;5;5
37;14;319;456;1;15;21;124;17;0;2;6
35;16;138;381;0;13;57;270;91;0;5;5
38;27;493;320;0;12;27;152;24;1;1;6
36;20;479;470;0;14;73;192;0;0;5;6
24;12;185;107;1;11;31;237;43;0;2;5
37;11;245;188;0;13;64;244;92;0;2;6
35;28;331;427;0;15;14;75;35;1;4;6
29;10;245;266;1;10;70;88;28;1;1;6
34;30;601;489;0;12;26;235;93;1;2;6
38;29;318;274;0;11;56;68;37;1;1;6
35;12;149;138;1;12;41;188;87;1;5;6
37;10;369;224;0;10;34;100;39;1;2;6
27;24;125;278;1;14;75;246;52;1;4;5
35;24;390;75;1;11;71;231;3;0;1;5
34;20;259;262;1;10;61;258;0;0;5;5
30;21;538;97;1;14;71;227;20;0;4;6
29;19;625;419;0;11;64;153;10;1;2;5
20;16;686;366;0;16;77;136;9;1;2;6
28;10;482;118;1;16;23;194;15;1;2;6
24;9;704;136;1;16;51;161;98;1;5;5
28;16;635;63;1;15;48;300;11;1;5;5
29;11;568;245;1;14;35;84;18;1;4;5
25;26;698;409;1;13;37;261;46;1;2;6
23;22;581;250;0;11;30;285;98;0;2;6
30;18;527;182;1;13;31;172;14;1;2;5
39;24;515;489;1;13;17;178;57;1;4;6
20;14;428;200;0;15;77;60;0;1;5;6
24;15;332;484;0;15;60;77;60;1;5;6
27;27;722;281;0;14;33;202;10;0;5;6
30;27;516;363;1;13;65;190;8;0;1;6
35;27;358;398;1;11;15;265;8;1;4;6
35;29;99;256;0;10;58;123;33;0;5;5
26;19;45;136;1;12;38;241;40;1;3;4
20;23;216;103;1;13;16;126;95;1;5;6
39;21;33;425;0;16;69;191;23;0;3;6
25;20;119;484;0;10;73;238;30;1;5;4
35;20;557;265;0;13;67;296;48;1;2;5
